#Cystic Fibrosis and CF-Related
CA12	ALL	AR
CFTR	ALL	AR
SCNN1A	ALL	AR
SCNN1B	ALL	AR
SCNN1G	ALL	AR

#Diffuse Lung Disease	
ABCA3	ALL	AR
AP3B1	ALL	AR
CSF2RA	ALL	P-AR	
CSF2RB	ALL	AR
DKC1	ALL	XR
FOXF1	ALL	AD
HPS1	ALL	AR
HPS4	ALL	AR
NKX2-1	ALL	AD
SFTPA2	ALL	AD
SFTPB	ALL	AR
SFTPC	ALL	AD
SLC7A7	ALL	AR
TERC	ALL	AD
TERT	ALL	AD
TINF2	ALL	AD

#Primary Ciliary Dyskinesia
CCDC103	ALL	AR
CCDC39	ALL	AR
CCDC40	ALL	AR
DNAAF1	ALL	AR
DNAAF2	ALL	AR
DNAAF3	ALL	AR
HEATR2	ALL	AR
DNAH11	ALL	AR
DNAH5	ALL	AR
DNAI1	ALL	AR
DNAI2	ALL	AR
DNAL1	ALL	AR
HYDIN	ALL	AR
LRRC6	ALL	AR
NME8	ALL	AR
RSPH4A	ALL	AR
RSPH9	ALL	AR

#Peroxisomal Beta-Oxidation Defects
ACOX1	ALL	AR
HSD17B4	ALL	AR
SCP2	ALL	AR

#Rhizomelic Chondrodysplasia Punctata	
AGPS	ALL	AR
GNPAT	ALL	AR
PEX7	ALL	AR
PHYH	ALL	AR

#Zellweger Spectrum Disorders
DNM1L	ALL	AD
PEX1	ALL	AR
PEX2	ALL	AR
PEX3	ALL	AR
PEX5	ALL	AR
PEX6	ALL	AR
PEX10	ALL	AR
PEX12	ALL	AR
PEX13	ALL	AR
PEX14	ALL	AR
PEX16	ALL	AR
PEX19	ALL	AR
PEX26	ALL	AR

#Loeys-Dietz Syndrome
TGFBR1	ALL	AD
TGFBR2	ALL	AD
TGFB2	ALL	AD

#Marfan Syndrome 
FBN1	ALL	AD
TGFBR2	ALL	AD

#Thoracic Aortic Aneurysm and Dissection (TAAD)
FBN1	ALL	AD
ACTA2	ALL	AD
MYH11	ALL	AD
MYLK	ALL	AD
SMAD3	ALL	AD
TGFBR1	ALL	AD
TGFBR2	ALL	AD
COL3A1	ALL	AD

#Ataxia Telangiectasia
ATM	ALL	AR

#Liddle Syndrome
SCNN1B	E13	AD
SCNN1G	E13	AD

#Pseudohypoaldosteronism type 1
NR3C2	ALL	AD	
SCNN1A	ALL	AR
SCNN1B	ALL	AR
SCNN1G	ALL	AR

#Telomere Shortening Disorders
CTC1	ALL	AR
DKC1	ALL	XR
NHP2	ALL	AR
NOP10	ALL	AR
TERC	ALL	AD
TERT	ALL	AD
TINF2	ALL	AD
WRAP53	ALL	AR

#Treacher Collins & related disorders
POLR1C	ALL	AR
POLR1D	ALL	AD
TCOF1	ALL	AD
SF3B4	ALL	AD


